Series,Value,Time
0,37.9,2018-11-18T08:41:03-02:00
1,37.9,2018-11-18T08:41:13-02:00
2,37.9,2018-11-18T08:41:23-02:00
3,37.9,2018-11-18T08:41:33-02:00
4,37.9,2018-11-18T08:41:43-02:00
5,37.9,2018-11-18T08:41:53-02:00
6,37.9,2018-11-18T08:42:03-02:00
7,37.9,2018-11-18T08:42:13-02:00
8,37.9,2018-11-18T08:42:23-02:00
9,37.9,2018-11-18T08:42:33-02:00
10,37.9,2018-11-18T08:44:59-02:00
11,37.9,2018-11-18T08:45:09-02:00
12,40.1,2018-11-18T08:45:19-02:00
13,39,2018-11-18T08:45:29-02:00
14,40.1,2018-11-18T08:45:39-02:00
15,40.1,2018-11-18T08:45:49-02:00
16,40.1,2018-11-18T08:45:59-02:00
17,40.6,2018-11-18T08:46:09-02:00
18,40.6,2018-11-18T08:46:19-02:00
19,39.5,2018-11-18T08:46:29-02:00
20,39,2018-11-18T08:46:40-02:00
21,39,2018-11-18T08:46:50-02:00
22,38.5,2018-11-18T08:47:00-02:00
23,38.5,2018-11-18T08:47:10-02:00
24,38.5,2018-11-18T08:47:20-02:00
25,37.9,2018-11-18T08:48:37-02:00
26,37.4,2018-11-18T08:48:47-02:00
27,37.9,2018-11-18T08:48:57-02:00
28,37.9,2018-11-18T08:49:07-02:00
29,37.9,2018-11-18T08:49:17-02:00
30,37.9,2018-11-18T08:49:27-02:00
31,36.9,2018-11-18T08:49:37-02:00
32,37.9,2018-11-18T08:49:47-02:00
33,37.4,2018-11-18T08:49:57-02:00
34,37.9,2018-11-18T08:50:07-02:00
35,37.9,2018-11-18T08:50:17-02:00
36,37.4,2018-11-18T08:50:27-02:00
37,37.4,2018-11-18T08:50:37-02:00
38,36.3,2018-11-18T08:50:47-02:00
39,36.9,2018-11-18T08:50:57-02:00
40,36.9,2018-11-18T08:51:07-02:00
41,36.9,2018-11-18T08:51:17-02:00
42,36.3,2018-11-18T08:51:28-02:00
43,36.9,2018-11-18T08:51:38-02:00
44,36.9,2018-11-18T08:51:48-02:00
45,36.9,2018-11-18T08:51:58-02:00
46,36.9,2018-11-18T08:52:08-02:00
47,36.9,2018-11-18T08:52:18-02:00
48,36.9,2018-11-18T08:52:28-02:00
49,37.4,2018-11-18T08:52:38-02:00
50,36.9,2018-11-18T08:52:48-02:00
51,36.9,2018-11-18T08:52:58-02:00
52,36.9,2018-11-18T08:53:08-02:00
53,36.9,2018-11-18T08:53:18-02:00
54,36.9,2018-11-18T08:53:28-02:00
55,36.9,2018-11-18T08:53:38-02:00
56,36.9,2018-11-18T08:53:48-02:00
57,36.9,2018-11-18T08:53:58-02:00
58,36.9,2018-11-18T08:54:08-02:00
59,36.3,2018-11-18T08:54:18-02:00
60,36.3,2018-11-18T08:54:28-02:00
61,36.9,2018-11-18T08:54:38-02:00
62,36.3,2018-11-18T08:54:48-02:00
63,36.3,2018-11-18T08:54:58-02:00
64,36.3,2018-11-18T08:55:08-02:00
65,36.9,2018-11-18T08:55:18-02:00
66,36.9,2018-11-18T08:55:29-02:00
67,36.9,2018-11-18T08:55:39-02:00
68,36.3,2018-11-18T08:55:49-02:00
69,36.3,2018-11-18T08:55:59-02:00
70,36.3,2018-11-18T08:56:09-02:00
71,36.9,2018-11-18T08:56:19-02:00
72,36.3,2018-11-18T08:56:29-02:00
73,36.3,2018-11-18T08:56:39-02:00
74,36.3,2018-11-18T08:56:49-02:00
75,36.3,2018-11-18T08:56:59-02:00
76,35.8,2018-11-18T08:57:09-02:00
77,36.9,2018-11-18T08:57:19-02:00
78,36.9,2018-11-18T08:57:29-02:00
79,36.3,2018-11-18T08:57:39-02:00
80,35.8,2018-11-18T08:57:49-02:00
81,36.3,2018-11-18T08:57:59-02:00
82,35.8,2018-11-18T08:58:09-02:00
83,36.9,2018-11-18T08:58:19-02:00
84,36.3,2018-11-18T08:58:29-02:00
85,36.3,2018-11-18T08:58:39-02:00
86,36.3,2018-11-18T08:58:49-02:00
87,36.3,2018-11-18T08:58:59-02:00
88,36.3,2018-11-18T08:59:09-02:00
89,36.3,2018-11-18T08:59:19-02:00
90,35.8,2018-11-18T08:59:29-02:00
91,35.8,2018-11-18T08:59:40-02:00
92,35.8,2018-11-18T08:59:50-02:00
93,36.3,2018-11-18T09:00:00-02:00
94,35.8,2018-11-18T09:00:10-02:00
95,36.3,2018-11-18T09:00:20-02:00
96,35.8,2018-11-18T09:00:30-02:00
97,35.8,2018-11-18T09:00:40-02:00
98,35.8,2018-11-18T09:00:50-02:00